wavelength_nm,out_port,in_port,s_real,s_imag
1540,l1,l1,0,0
1540,l1,l2,0,0
1540,l1,r1,0.7071067811865476,0
1540,l1,r2,0,0.7071067811865476
1540,l2,l1,0,0
1540,l2,l2,0,0
1540,l2,r1,0,0.7071067811865476
1540,l2,r2,0.7071067811865476,0
1540,r1,l1,0.7071067811865476,0
1540,r1,l2,0,0.7071067811865476
1540,r1,r1,0,0
1540,r1,r2,0,0
1540,r2,l1,0,0.7071067811865476
1540,r2,l2,0.7071067811865476,0
1540,r2,r1,0,0
1540,r2,r2,0,0
1550,l1,l1,0,0
1550,l1,l2,0,0
1550,l1,r1,0.7071067811865476,0
1550,l1,r2,0,0.7071067811865476
1550,l2,l1,0,0
1550,l2,l2,0,0
1550,l2,r1,0,0.7071067811865476
1550,l2,r2,0.7071067811865476,0
1550,r1,l1,0.7071067811865476,0
1550,r1,l2,0,0.7071067811865476
1550,r1,r1,0,0
1550,r1,r2,0,0
1550,r2,l1,0,0.7071067811865476
1550,r2,l2,0.7071067811865476,0
1550,r2,r1,0,0
1550,r2,r2,0,0
1560,l1,l1,0,0
1560,l1,l2,0,0
1560,l1,r1,0.7071067811865476,0
1560,l1,r2,0,0.7071067811865476
1560,l2,l1,0,0
1560,l2,l2,0,0
1560,l2,r1,0,0.7071067811865476
1560,l2,r2,0.7071067811865476,0
1560,r1,l1,0.7071067811865476,0
1560,r1,l2,0,0.7071067811865476
1560,r1,r1,0,0
1560,r1,r2,0,0
1560,r2,l1,0,0.7071067811865476
1560,r2,l2,0.7071067811865476,0
1560,r2,r1,0,0
1560,r2,r2,0,0
